city,state_id,state_name,county_name,lat,lng,zips,status,date_completed
Douglas,WY,Wyoming,Converse,42.7541,-105.3968,82633,,
Greenville,IL,Illinois,Bond,38.8866,-89.3893,62246,,
Orlovista,FL,Florida,Orange,28.5441,-81.4629,32808 32835 32811,,
Eudora,KS,Kansas,Douglas,38.9345,-95.0957,66025,,
Walkersville,MD,Maryland,Frederick,39.4832,-77.3559,21793,,
Garrett,IN,Indiana,DeKalb,41.3526,-85.1238,46738 46706,,
Bowleys Quarters,MD,Maryland,Baltimore,39.3198,-76.3858,21220,,
Littlestown,PA,Pennsylvania,Adams,39.7452,-77.0892,17340,,
Bronxville,NY,New York,Westchester,40.9394,-73.8263,10708,,
Kingston Estates,NJ,New Jersey,Camden,39.9188,-74.9898,8034,,
Burnet,TX,Texas,Burnet,30.7496,-98.2383,78611,,
Lincroft,NJ,New Jersey,Monmouth,40.3391,-74.1283,7738,,
Jordan,MN,Minnesota,Scott,44.6652,-93.6351,55352,,
Hampstead,MD,Maryland,Carroll,39.6104,-76.855,21074,,
Carolina Beach,NC,North Carolina,New Hanover,34.0396,-77.8966,28428,,
Mount Vernon,IA,Iowa,Linn,41.923,-91.4244,52314,,
Lionville,PA,Pennsylvania,Chester,40.0524,-75.644,19341,,
Ramtown,NJ,New Jersey,Monmouth,40.1144,-74.1492,7731,,
Rockford,MI,Michigan,Kent,43.1266,-85.5582,49341 49351,,
Steilacoom,WA,Washington,Pierce,47.1703,-122.5934,98388,,
Opp,AL,Alabama,Covington,31.2848,-86.257,36467,,
Abilene,KS,Kansas,Dickinson,38.9229,-97.2251,67410,,
Rhome,TX,Texas,Wise,33.0647,-97.4779,76078 76234,,
Aptos,CA,California,Santa Cruz,36.9912,-121.8934,95003 95001,,
Belpre,OH,Ohio,Washington,39.2815,-81.5971,45714,,
Crockett,TX,Texas,Houston,31.3177,-95.4564,75835,,
Ellenville,NY,New York,Ulster,41.7009,-74.3609,12420 12428,,
East End,AR,Arkansas,Saline,34.5554,-92.3261,72065 72206 72103,,
Rushville,IN,Indiana,Rush,39.6172,-85.4463,46173,,
International Falls,MN,Minnesota,Koochiching,48.5884,-93.4083,56649 56679,,
Rogersville,TN,Tennessee,Hawkins,36.4081,-83.0043,37857,,
Prosser,WA,Washington,Benton,46.2068,-119.7662,99350,,
West Point,NY,New York,Orange,41.3642,-74.0118,10996 10928 10997,,
Nephi,UT,Utah,Juab,39.7072,-111.8323,84648,,
Richboro,PA,Pennsylvania,Bucks,40.2262,-75.0006,18954,,
Cullowhee,NC,North Carolina,Jackson,35.3107,-83.1815,28723,,
Mims,FL,Florida,Brevard,28.6928,-80.8468,32754,,
Village of Oak Creek,AZ,Arizona,Yavapai,34.7813,-111.7606,86351 86341,,
Jasper,GA,Georgia,Pickens,34.471,-84.4496,30143 30175,,
Nitro,WV,West Virginia,Kanawha,38.4119,-81.8194,25143 25064,,
Wharton,NJ,New Jersey,Morris,40.8999,-74.5808,7885,,
Johnsburg,IL,Illinois,McHenry,42.383,-88.2476,60051,,
Fort Riley,KS,Kansas,Riley,39.1111,-96.8138,66442,,
Sunbury,OH,Ohio,Delaware,40.2485,-82.8804,43074,,
Wollochet,WA,Washington,Pierce,47.2828,-122.5769,98335,,
Keyser,WV,West Virginia,Mineral,39.4394,-78.9822,26726,,
Kathleen,FL,Florida,Polk,28.1224,-82.0387,33810,,
Combee Settlement,FL,Florida,Polk,28.0596,-81.9053,33801,,
Henderson,TN,Tennessee,Chester,35.4446,-88.6531,38340,,
Cynthiana,KY,Kentucky,Harrison,38.386,-84.2993,41031,,
Tabor City,NC,North Carolina,Columbus,34.1538,-78.8737,28463,,
North Fort Lewis,WA,Washington,Pierce,47.122,-122.5966,98433,,
West Hattiesburg,MS,Mississippi,Lamar,31.3114,-89.374,39402,,
Allegan,MI,Michigan,Allegan,42.5299,-85.8462,49010,,
Dacula,GA,Georgia,Gwinnett,33.9816,-83.8951,30019,,
Schuyler,NE,Nebraska,Colfax,41.4497,-97.0619,68661,,
Tipton,IN,Indiana,Tipton,40.282,-86.0422,46072,,
Clarkston Heights-Vineland,WA,Washington,Asotin,46.3876,-117.0831,99403,,
Galax,VA,Virginia,Galax,36.6661,-80.9176,24333,,
Jan Phyl Village,FL,Florida,Polk,28.0201,-81.7933,33880,,
Swarthmore,PA,Pennsylvania,Delaware,39.9023,-75.3488,19081,,
Carmel Hamlet,NY,New York,Putnam,41.415,-73.6855,10512,,
Gladewater,TX,Texas,Gregg,32.5426,-94.9465,75647,,
Iowa Park,TX,Texas,Wichita,33.9622,-98.6819,76367,,
Yaphank,NY,New York,Suffolk,40.8323,-72.9233,11980,,
St. John,MO,Missouri,St. Louis,38.7148,-90.3462,63114,,
Theodore,AL,Alabama,Mobile,30.5408,-88.1884,36590 36582,,
Pepper Pike,OH,Ohio,Cuyahoga,41.4801,-81.4619,44124,,
Red Lion,PA,Pennsylvania,York,39.8986,-76.6078,17356,,
Hamlet,NC,North Carolina,Richmond,34.8891,-79.7099,28345,,
White Oak,TX,Texas,Gregg,32.5313,-94.8564,75693,,
Comstock Northwest,MI,Michigan,Kalamazoo,42.3219,-85.518,49048,,
"Islamorada, Village of Islands",FL,Florida,Monroe,24.9408,-80.6097,33036 33070,,
Mascotte,FL,Florida,Lake,28.611,-81.9107,34736 34753,,
Pass Christian,MS,Mississippi,Harrison,30.327,-89.2436,39571,,
Jeanerette,LA,Louisiana,Iberia,29.9157,-91.6758,70544,,
Delano,MN,Minnesota,Wright,45.0383,-93.7922,55328,,
Waveland,MS,Mississippi,Hancock,30.293,-89.3904,39576 39520,,
North Hobbs,NM,New Mexico,Lea,32.7731,-103.125,88242 88240 88241,,
Forest Hills,PA,Pennsylvania,Allegheny,40.4251,-79.8544,15221,,
El Rio,CA,California,Ventura,34.2452,-119.1568,93036,,
Lely Resort,FL,Florida,Collier,26.0889,-81.7031,34113,,
East Porterville,CA,California,Tulare,36.0573,-118.9713,93257,,
Ranchettes,WY,Wyoming,Laramie,41.2186,-104.7729,82009,,
Boiling Spring Lakes,NC,North Carolina,Brunswick,34.0322,-78.068,28461,,
Stone Mountain,GA,Georgia,DeKalb,33.8034,-84.1724,30083,,
