id,state,state_id,city,status,date_completed,url
181,Alabama,AL,Whitesboro,completed,2022-03-10 19:59:03,http://www.usa.com/Whitesboro-AL.htm
182,Alabama,AL,Huguley,completed,2022-03-10 19:59:09,http://www.usa.com/Huguley-AL.htm
183,Alabama,AL,Hartford,completed,2022-03-10 19:59:14,http://www.usa.com/Hartford-AL.htm
184,Alabama,AL,Carlisle-Rockledge,completed,2022-03-10 19:59:20,http://www.usa.com/Carlisle-Rockledge-AL.htm
185,Alabama,AL,Abbeville,completed,2022-03-10 19:59:26,http://www.usa.com/Abbeville-AL.htm
186,Alabama,AL,Indian Springs Village,completed,2022-03-10 19:59:31,http://www.usa.com/Indian-Springs-Village-AL.htm
187,Alabama,AL,Bayou La Batre,completed,2022-03-10 19:59:37,http://www.usa.com/Bayou-La-Batre-AL.htm
188,Alabama,AL,Trinity,completed,2022-03-10 19:59:43,http://www.usa.com/Trinity-AL.htm
189,Alabama,AL,Taylor,completed,2022-03-10 19:59:49,http://www.usa.com/Taylor-AL.htm
190,Alabama,AL,Riverside,completed,2022-03-10 19:59:54,http://www.usa.com/Riverside-AL.htm
191,Alabama,AL,Ashville,completed,2022-03-10 20:00:00,http://www.usa.com/Ashville-AL.htm
192,Alabama,AL,Henagar,completed,2022-03-10 20:00:06,http://www.usa.com/Henagar-AL.htm
193,Alabama,AL,Good Hope,completed,2022-03-10 20:00:12,http://www.usa.com/Good-Hope-AL.htm
194,Alabama,AL,Midland City,completed,2022-03-10 20:00:18,http://www.usa.com/Midland-City-AL.htm
195,Alabama,AL,East Brewton,completed,2022-03-10 20:00:24,http://www.usa.com/East-Brewton-AL.htm
196,Alabama,AL,Bridgeport,completed,2022-03-10 20:00:29,http://www.usa.com/Bridgeport-AL.htm
197,Alabama,AL,Guin,completed,2022-03-10 20:00:34,http://www.usa.com/Guin-AL.htm
198,Alabama,AL,Greensboro,completed,2022-03-10 20:00:39,http://www.usa.com/Greensboro-AL.htm
199,Alabama,AL,Aliceville,completed,2022-03-10 20:00:44,http://www.usa.com/Aliceville-AL.htm
200,Alabama,AL,Lineville,completed,2022-03-10 20:00:49,http://www.usa.com/Lineville-AL.htm
201,Alabama,AL,York,completed,2022-03-10 20:00:55,http://www.usa.com/York-AL.htm
202,Alabama,AL,Uniontown,completed,2022-03-10 20:01:00,http://www.usa.com/Uniontown-AL.htm
203,Alabama,AL,Vincent,completed,2022-03-10 20:01:06,http://www.usa.com/Vincent-AL.htm
204,Alabama,AL,Ashford,completed,2022-03-10 20:01:12,http://www.usa.com/Ashford-AL.htm
205,Alabama,AL,Morris,completed,2022-03-10 20:01:18,http://www.usa.com/Morris-AL.htm
206,Alabama,AL,Lipscomb,completed,2022-03-10 20:01:24,http://www.usa.com/Lipscomb-AL.htm
207,Alabama,AL,Owens Cross Roads,completed,2022-03-10 20:01:29,http://www.usa.com/Owens-Cross-Roads-AL.htm
208,Alabama,AL,Smoke Rise,completed,2022-03-10 20:01:35,http://www.usa.com/Smoke-Rise-AL.htm
209,Alabama,AL,Graysville,completed,2022-03-10 20:01:40,http://www.usa.com/Graysville-AL.htm
210,Alabama,AL,Cowarts,completed,2022-03-10 20:01:46,http://www.usa.com/Cowarts-AL.htm
211,Alabama,AL,Thorsby,completed,2022-03-10 20:01:52,http://www.usa.com/Thorsby-AL.htm
212,Alabama,AL,Wilsonville,completed,2022-03-10 20:01:57,http://www.usa.com/Wilsonville-AL.htm
213,Alabama,AL,Creola,completed,2022-03-10 20:02:02,http://www.usa.com/Creola-AL.htm
